transcript_col,model_type,embedding_dim,lstm_units,dropout,recurrent_dropout,dense_units,learning_rate,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro
Transcript_CTD,lstm,100,16,0.3,0.0,64,0.0005,0.5834677419354838,0.05877284133213078,0.5565763724669756,0.08536995843767399,0.5616105114176644,0.08023744707562859,0.590448103016161,0.06175345437803664,0.5754306722689074,0.06521542963572112
Transcript_CTD,lstm,100,16,0.3,0.1,0,0.001,0.6350806451612903,0.13209876815226748,0.619139994555816,0.1552931326201645,0.623471016377023,0.14827083341706143,0.6269091431444374,0.15441077107070644,0.6295798319327732,0.14243922479641713
Transcript_CTD,lstm,100,16,0.3,0.1,0,0.0005,0.5969758064516129,0.08944094670479832,0.5930145261046262,0.09033468619569407,0.5951509580669758,0.08954788787168579,0.5954453144894322,0.09012848909905052,0.5938375350140055,0.09001913239032004
Transcript_CTD,lstm,100,16,0.3,0.1,64,0.001,0.5774193548387097,0.06491810257257453,0.5742795164042629,0.06654594167039447,0.5744170615966074,0.06515550330058917,0.5820675351480304,0.07086141415322235,0.5794047619047619,0.06864885642885622
Transcript_CTD,lstm,100,16,0.3,0.1,64,0.0005,0.5709677419354839,0.14498196809189828,0.5578395918029394,0.15678904581597627,0.557094208542326,0.15966954283048987,0.5690424852924852,0.14785451286131396,0.5729481792717086,0.14016227554388289
Transcript_CTD,lstm,100,128,0.3,0.0,0,0.001,0.5901209677419355,0.0579597649429089,0.5453766997322897,0.12160628485135495,0.552476842321062,0.11346354190326488,0.5375820707070706,0.1610655830929144,0.5788515406162464,0.06609913406572816
Transcript_CTD,lstm,100,128,0.3,0.0,0,0.0005,0.6159274193548387,0.122158953411296,0.582778454321104,0.17101799300893258,0.577020652931753,0.18392120759686,0.5824066988528187,0.21838237446046932,0.6249264705882352,0.1029538536778509
Transcript_CTD,lstm,100,128,0.3,0.0,64,0.001,0.6411290322580644,0.02452726826733151,0.629592035767462,0.02860502880249058,0.6327947204622407,0.026101143992153804,0.6491990788410227,0.03433399222353738,0.6348669467787115,0.027944430323971797
Transcript_CTD,lstm,100,128,0.3,0.0,64,0.0005,0.6088709677419354,0.0625974786139517,0.5989813029034385,0.05801706172486988,0.5992546893233768,0.060001791220481694,0.6281740759240759,0.07812676854059276,0.6096813725490196,0.06064003621547837
Transcript_CTD,lstm,100,128,0.3,0.1,0,0.001,0.6034274193548387,0.08913137489186658,0.5544720657588179,0.14977225131163757,0.5551380980317827,0.1572563815111019,0.5614492853637589,0.18897173073360035,0.6009138655462184,0.08025168875254117
Transcript_CTD,lstm,100,128,0.3,0.1,0,0.0005,0.5838709677419355,0.10601081758164507,0.5736647990674713,0.0999777241873996,0.5751377364546332,0.10089072453178119,0.5966168210575264,0.11309599532750791,0.5815686274509805,0.10175630390293729
Transcript_CTD,lstm,100,128,0.3,0.1,64,0.001,0.5897177419354838,0.047763539276137634,0.5787375093943858,0.06164160813668533,0.5811855726620598,0.05702400069487719,0.5907682595182594,0.05692424180578855,0.5867331932773109,0.05562823679763049
Transcript_CTD,lstm,100,128,0.3,0.1,64,0.0005,0.603024193548387,0.048220900737647475,0.5981797070287206,0.04750186651889074,0.598887275956095,0.04811639129693169,0.6082423132423133,0.04889070364995863,0.6031337535014006,0.04702552858099104
Transcript_CTD,lstm,200,16,0.3,0.0,0,0.001,0.5703629032258065,0.1245773617302565,0.5513953774234303,0.1506542887742059,0.5479673496014824,0.15923103203026542,0.5614342139342139,0.14893119671176738,0.5763410364145658,0.11231599848053873
Transcript_CTD,lstm,200,16,0.3,0.0,0,0.0005,0.5830645161290322,0.04801605047291678,0.5768884557218473,0.04355134914887044,0.5789039130083272,0.04513532383286413,0.5852193381953443,0.050075842987015354,0.5799369747899159,0.045148280997817467
Transcript_CTD,lstm,200,16,0.3,0.0,64,0.001,0.615524193548387,0.07788758149536208,0.6118707046868893,0.07961309214708195,0.6138501861655365,0.07867133740142226,0.6140622612681436,0.07873834417209524,0.6126855742296918,0.07894057200082874
Transcript_CTD,lstm,200,16,0.3,0.0,64,0.0005,0.6348790322580644,0.03961321598725955,0.6122344669403494,0.055088840254867606,0.6108527593394767,0.05914984260111184,0.6904194986300249,0.05611745834082569,0.63937324929972,0.030379513087539396
Transcript_CTD,lstm,200,16,0.3,0.1,0,0.001,0.5834677419354839,0.10108429452380648,0.5719988057919092,0.11326583546252664,0.5690973722889905,0.11843971022575689,0.5950599349051361,0.09247620347087528,0.5900035014005602,0.09259283062663431
Transcript_CTD,lstm,200,16,0.3,0.1,0,0.0005,0.6094758064516129,0.09724453076810033,0.5966012247343568,0.10484010818807678,0.5960493405877685,0.10620209399690922,0.6228498168498169,0.08830322842195731,0.6120658263305322,0.09208572839117717
Transcript_CTD,lstm,200,16,0.3,0.1,64,0.001,0.6094758064516129,0.11669974151477365,0.5974064633990553,0.1286168413419476,0.6002691733958004,0.12395619792849451,0.6109728867623605,0.13406141176487643,0.6060609243697479,0.12298704382059156
